#tp_osd_tp,ceph-osd,safe_timer,ms_dispatch,ms_local,rocksdb:low,io_context_pool,ceph_timer,fn_anonymous,bstore_aio,log,service,admin_socket,signal_handler,OpHistorySvc,rocksdb:high,cfin,bstore_mempool,finisher,osd_srv_agent,osd_srv_heartbt,bstore_kv_sync,bstore_kv_final
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
11.20,8.40,5.60,4.90,4.90,2.10,1.40,1.40,1.40,1.40,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
12.80,9.60,6.40,5.60,5.60,2.40,1.60,1.60,1.60,1.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
